,bt_ability,bt_s.e.,wins
鶴竜,2.2971958567636697,0.7520516245500269,12
高安,1.71689954160799,0.709272080196468,11
栃ノ心,1.30758226789768,0.6810271501050059,10
魁聖,1.22803201834605,0.6523769968531851,11
逸ノ城,0.717768370936684,0.65291592357165,8
遠藤,0.7175289210374091,0.644566101057359,9
玉鷲,0.653173172548161,0.6439977865376,9
豪栄道,0.597768224992168,0.655107096513821,8
正代,0.4232052688803521,0.6001884698778779,7
松鳳山,0.274913524862031,0.646132899177971,7
御嶽海,0.0478684266974307,0.640022585504854,7
阿炎,0.0,0.0,10
千代丸,-0.272577767288791,0.6108288184432601,5
琴奨菊,-0.357083146082452,0.605337763896202,6
大栄翔,-0.516202871748221,0.565715408831832,9
豊山,-0.63714774115273,0.5895000294570689,10
勢,-0.666367864458884,0.6701541092111221,9
北勝富士,-0.9757613146362559,0.574665657349379,5
嘉風,-0.97597357646926,0.563441169741995,7
千代翔馬,-1.0917539362929598,0.583075928909094,9
大奄美,-1.1067986893778101,0.676410882242675,9
隠岐の海,-1.13123321669968,0.587876430684531,7
宝富士,-1.19601014862241,0.66939702254333,5
千代大龍,-1.2292354546685,0.64511789106656,4
竜電,-1.2750061051363402,0.5890216939223729,7
大翔丸,-1.30102124247479,0.63205973778943,8
輝,-1.30822708010276,0.574589625891069,7
朝乃山,-1.511362357276,0.640792079760939,8
碧山,-1.72741009154378,0.6614257758848,6
安美錦,-1.7649481105397,1.16891681927533,2
千代の国,-1.7778947463631103,0.611977231196551,7
石浦,-2.05535990683388,0.631876105391036,7
荒鷲,-2.15376085782638,0.721319472738679,2
栃煌山,-2.39317196415792,0.6322177908542409,4
妙義龍,-2.85291968801648,0.7305753465935799,4
錦木,-3.35843046407425,0.756280883997665,3
英乃海,-4.08894436272932,0.8110548549148711,2
琴勇輝,-4.701579904876651,0.962034436606379,1
