,bt_ability,bt_s.e.,wins
鶴竜,3.3680445864658304,0.892719379216083,14
栃ノ心,2.61197276148435,0.75205102033814,12
白鵬,1.6333634555777201,0.635131669887995,11
御嶽海,0.899674451095359,0.5918846218085639,9
正代,0.855233748018729,0.614717417746422,9
千代の国,0.716908831120045,0.7742071883521751,12
松鳳山,0.539698837466304,0.5777848863445,8
琴奨菊,0.502536363782414,0.591265293529095,8
玉鷲,0.467237055550876,0.585028187821598,8
逸ノ城,0.419098600377545,0.5924588713685339,7
妙義龍,0.416171388719913,0.729302107422856,10
勢,0.30412286544958195,0.6312511422082829,8
阿炎,0.0,0.0,7
貴景勝,-0.0760240235109792,0.7174666750415271,10
千代大龍,-0.15340313216866902,0.609615036055065,6
旭大星,-0.15432850850150598,0.743541297822175,10
魁聖,-0.17837351213327804,0.584505827529782,6
錦木,-0.182032197340555,0.7478264628158431,9
輝,-0.29295967398151895,0.69770691081532,9
大翔丸,-0.501727450169858,0.695629706282779,9
嘉風,-0.545676826491768,0.6626760590654089,8
碧山,-0.573422008818873,0.7256877870113391,8
栃煌山,-0.612821793906111,0.724674411343047,8
大栄翔,-0.622755685370705,0.5944256440291971,5
佐田の海,-0.65891179927569,0.7246546986000509,8
宝富士,-0.7067896531779521,0.6286927538999499,7
朝乃山,-0.8630334786967521,0.7306137319529951,7
豪風,-1.13427008192827,0.723082651680604,6
荒鷲,-1.156780821605,0.728516685816153,7
千代翔馬,-1.24842499270417,0.649222833838588,6
遠藤,-1.26616738607494,0.667294847173375,3
石浦,-1.3954279877273899,0.746790259184653,6
北勝富士,-1.43394143683864,0.765757329843194,4
千代丸,-1.5996466408141201,0.7173495925978101,5
隠岐の海,-1.78192596792036,0.7231060574669409,5
安美錦,-1.8988907952546599,0.765960039925925,4
大奄美,-2.08201683259245,0.749870006440748,4
豊山,-2.30779726214285,0.729577875785096,2
竜電,-2.57525850984811,0.7341398101668091,3
