,bt_ability,bt_s.e.,wins
御嶽海,2.51421272208073,0.747403322050744,11
豊山,2.04290890238441,0.7334013940621009,11
豪栄道,1.44417111294581,0.6560192996610761,9
朝乃山,1.41492243798603,0.704797428057075,10
貴景勝,1.4072871065511798,0.632176268127429,10
北勝富士,1.4062756614731398,0.7313367947448299,10
栃煌山,1.31549172370968,0.708952113825497,9
高安,1.2756189529332,0.6427122655257961,8
魁聖,1.01066050365789,0.626270247014374,8
逸ノ城,0.9045621414792191,0.633777934728269,8
遠藤,0.881796874797677,0.665657303860605,7
千代大龍,0.8658374646722969,0.666359257308452,9
阿武咲,0.764159919985644,0.7279926575886441,8
妙義龍,0.7137779678064771,0.6856765688983759,8
玉鷲,0.659211463205296,0.683404722761601,5
勢,0.42895104109947396,0.652163982033715,5
碧山,0.29672920244265805,0.6774952813151629,7
竜電,0.270633603482342,0.7266048230939759,7
佐田の海,0.23397854664029602,0.7177442937174559,7
錦木,0.0446764732245139,0.714489347426713,6
石浦,0.0243841347382678,0.7419143712857099,6
阿炎,0.0,0.0,5
宝富士,-0.165427198315119,0.681083171899357,6
輝,-0.354556213454974,0.6392217193050551,5
旭大星,-0.39800980764291294,0.7077750158186641,6
明生,-0.49025648426685997,0.752537186786901,5
荒鷲,-0.5516313400928029,0.728788693600344,5
大栄翔,-0.577259434902953,0.7228637967260179,5
正代,-0.594615463408549,0.6942844763788779,3
大翔丸,-0.670411059482569,0.68424286044805,5
千代丸,-0.9440703834429229,0.7391339152694921,4
琴恵光,-1.5227081945862901,0.8097087296866059,2
松鳳山,-1.5632260855642701,0.759809360656462,2
嘉風,-2.03685763154865,0.750271946136532,2
