,bt_ability,bt_s.e.,wins
松鳳山,76.0784300742014,238581.604160532,2
玉鷲,53.1321358556781,290773.94123959803,2
貴景勝,50.718953382813,194801.88478849802,1
石浦,50.718953382768795,194801.884786348,2
勢,26.566067929862598,218080.456113462,2
錦木,26.5660679298265,218080.456110842,2
御嶽海,26.566067929821802,229876.984794959,2
千代の国,26.566067929796098,218080.456107199,2
大栄翔,26.566067929791398,218080.45610759698,2
豪栄道,26.5660679258844,308412.338514887,1
栃ノ心,26.566067925861002,229876.984430765,1
正代,25.359476691406,137746.314055065,1
魁聖,25.359476691399102,137746.31405459,2
大翔丸,25.359476691388195,137746.314053844,1
逸ノ城,2.3809044799944898e-09,33554782.7213776,2
蒼国来,2.44542037208642e-11,251817.62008166802,0
荒鷲,1.39354837266522e-11,290773.941383223,0
栃煌山,2.6750847280988595e-12,251817.62007672,1
阿炎,0.0,0.0,1
輝,-5.0380679517077104e-11,251817.620079269,1
嘉風,-25.3594766913865,137746.314053725,1
琴勇輝,-25.3594766914028,137746.314054847,0
琴奨菊,-25.5749607575248,33554782.7195447,1
遠藤,-25.5749607599194,153416.143867881,1
千代翔馬,-26.56606792979,218080.456106757,0
隠岐の海,-26.5660679298351,218080.456110774,0
大奄美,-26.5660679298514,251817.62008406897,1
北勝富士,-50.718953382784,194801.88478708398,0
千代大龍,-51.1499215174273,33554782.7140461,0
高安,-51.14992151981421,216962.62440707398,0
英乃海,-53.13213585571629,356123.89321248396,1
豪風,-79.69820378556341,436160.911936581,0
千代丸,,,0
妙義龍,,,0
宝富士,,,0
朝乃山,,,1
碧山,,,1
竜電,,,1
豊山,,,1
鶴竜,,,2
